Player,Wins,Losses,Win %,Glicko,GXE
Chris,37,21,0.637931034,1695.0559650350992±64.51946549921131,67.79354597
Simon,50,30,0.625,1617.0090652176866±62.77884785330051,60.98556826
Stephen,35,35,0.5,1592.1710675301445±62.6806569439033,58.70761102
Gyromee,8,10,0.444444444,1490.7847829148552±96.33417754829716,49.13078486
Luke,13,18,0.419354839,1462.4114440185892±77.81702770663127,46.43519676
Meng,23,36,0.389830508,1520.6853270948004±65.22149866350281,51.97187071
Marco,4,9,0.307692308,1412.8193742245135±116.11828210483029,41.9211777
Zane,2,5,0.285714286,1361.7332375516492±164.4945196898966,37.68959434
Matt,2,7,0.222222222,1292.1025405014366±147.22332559980748,31.77270017
Sonny,0,3,0,1277.3747736793719±200.74956243716588,31.24347995
