Barrin,1,2,0
Takara,1,4,0
Gix,1,2,0
Teysa Orzhov Scion,1,2,0
Titania,0.833333333,5,1
Karn,0.833333333,5,1
Oracle,0.75,3,1
Crovax,0.733333333,11,4
Xantcha,0.666666667,6,3
Sisay,0.642857143,9,5
Maraxus,0.615384615,8,5
Serra,0.6,6,4
Squee,0.529411765,9,8
Tawnos,0.529411765,9,8
Lyna,0.5,1,1
Selenia,0.5,3,3
Rofellos,0.5,1,1
Ashnod,0.5,1,1
Urza,0.5,1,1
Tiger,0.5,1,1
Dauntless Escort,0.5,1,1
Ertai,0.444444444,4,5
Hanna,0.428571429,9,12
Mirri,0.388888889,7,11
Volrath,0.375,3,5
Sakashima the Impostor,0.333333333,1,2
Mishra,0.285714286,4,10
Tahngarth,0.25,1,3
Dakkon Blackblade,0.25,1,3
Starke,0.166666667,1,5
Eladamri,0.166666667,1,5
Gerrard,0,0,4
Greven il-Vec,0,0,6
Arcbound Overseer,0,0,2
