Player,Wins,Losses,Win %,Glicko,GXE
Hamzah,2,0,1,1826.2570203036646±229.9206778330542,75.56876803
Adam,1,0,1,1662.3108949741131±290.31896467295957,62.99830206
Zoe,1,0,1,1745.8044284313025±261.4020857899379,69.58776426
Chris,1,0,1,1662.3108949741131±290.31896467295957,62.99830206
Nick D,3,1,0.75,1642.8669667172844±177.61199761636706,62.59425731
Collin,4,2,0.666666667,1666.7695418530755±155.60739720794172,64.79129652
Simon,15,13,0.535714286,1619.6804774326413±80.1046889193442,61.16894203
Thana,15,15,0.5,1565.6148061544948±79.54373017843567,56.19756851
Luke,2,2,0.5,1618.04623095359±186.57900051926055,60.41260758
Eric K,1,1,0.5,1536.8703311194274±225.7194604765345,53.19702871
Clayton,6,7,0.461538462,1530.315248589729±106.74445677670481,52.84367478
Nathan,11,15,0.423076923,1473.8159498212551±87.07982332131849,47.52287657
David K,1,5,0.166666667,1373.9433205953148±153.15124541598158,38.65819437
Ethan,0,1,0,1343.7325512047091±254.10210310109312,37.05925833
Marco,0,1,0,1383.3580797566513±286.92720662703823,40.5248042
