adam,926,Guildmage,206
alan,506,Adept,106
alberto,300,Task Mage,0
andrew d,361,Task Mage,61
chris a,1341,Sorcerer,61
clayton,653,Spellshaper,113
collin,472,Adept,72
david o,402,Adept,2
eric k,672,Spellshaper,132
evan s,361,Task Mage,61
jacob,446,Adept,46
john k,458,Adept,58
juwan,557,Spellshaper,17
kevin s,351,Task Mage,51
luca,215,Prodigy,55
luis,368,Task Mage,68
luke,317,Task Mage,17
marco,192,Prodigy,32
matt y,926,Guildmage,206
nick d,663,Spellshaper,123
noah,505,Adept,105
simon,995,Invoker,25
sonny,636,Spellshaper,96
stephen,566,Spellshaper,26
todd,311,Task Mage,11
tony,919,Guildmage,199
travis,241,Apprentice,21
walski,714,Spellshaper,174
zane,401,Adept,1
frank,219,Prodigy,59
thana,258,Apprentice,38
