Player Name,Level,XP Towards Next Level,Total Wins,Total Events Played
Jacob,Adept,109,77,157
Todd,Task Mage,78,74,69
Sonny,Guildmage,35,151,140
Chris A,Sorcerer,145,300,269
Simon,Guildmage,150,169,225
Juwan,Spellshaper,101,131,119
Nick D,Guildmage,6,158,119
Andrew D,Adept,29,84,90
Matt Y,Invoker,45,218,190
Zane,Adept,83,93,96
Clayton,Spellshaper,168,160,119
Nick C,Prodigy,0,26,41
Adam,Invoker,85,220,195
Travis,Task Mage,0,49,81
Evan S,Adept,29,91,68
Walski,Guildmage,43,161,151
David O,Adept,58,96,85
Tony,Guildmage,248,211,183
Kevin S,Task Mage,92,75,95
John K,Spellshaper,31,91,160
Frank,Apprentice,29,50,51
Luca,Apprentice,34,50,53
Alberto,Task Mage,32,73,57
Marco,Apprentice,19,33,84
Luis,Task Mage,90,88,71
Stephen,Spellshaper,127,125,163
Alan,Spellshaper,21,126,100
Noah,Spellshaper,10,114,113
Eric K,Guildmage,40,165,140
Collin,Adept,107,105,112
Luke,Task Mage,52,63,97
Thana,Apprentice,72,55,72
