adam,1001,Invoker,31
alan,856,Guildmage,136
alberto,525,Adept,125
andrew d,361,Task Mage,61
chris a,1741,Battlemage,21
clayton,1078,Invoker,108
collin,472,Adept,72
david o,402,Adept,2
eric k,797,Guildmage,77
evan s,586,Spellshaper,46
jacob,721,Guildmage,1
john k,558,Spellshaper,18
juwan,732,Guildmage,12
kevin s,526,Adept,126
luca,215,Prodigy,55
luis,468,Adept,68
luke,317,Task Mage,17
marco,192,Prodigy,32
matt y,1326,Sorcerer,46
nick d,1088,Invoker,118
noah,655,Spellshaper,115
simon,995,Invoker,25
sonny,736,Guildmage,16
stephen,591,Spellshaper,51
todd,311,Task Mage,11
tony,1419,Sorcerer,139
travis,241,Apprentice,21
walski,989,Invoker,19
zane,401,Adept,1
frank,219,Prodigy,59
thana,258,Apprentice,38
