adam,906,Guildmage,186
alan,851,Guildmage,131
alberto,509,Adept,109
andrew d,333,Task Mage,33
chris a,1610,Sorcerer,330
clayton,897,Guildmage,177
collin,318,Task Mage,18
david o,357,Task Mage,57
eric k,614,Spellshaper,74
evan s,572,Spellshaper,32
frank,188,Prodigy,28
jacob,693,Spellshaper,153
john k,557,Spellshaper,17
juwan,722,Guildmage,2
kevin s,488,Adept,88
luca,215,Prodigy,55
luis,420,Adept,20
luke,221,Apprentice,1
marco,143,Beginner,143
matt y,1262,Invoker,292
nick d,1018,Invoker,48
noah,526,Adept,126
simon,950,Guildmage,230
sonny,699,Spellshaper,159
stephen,483,Adept,83
thana,153,Beginner,153
todd,311,Task Mage,11
tony,1335,Sorcerer,55
travis,182,Prodigy,22
walski,882,Guildmage,162
zane,400,Adept,0
