adam,1121,Invoker,151,151/310
alan,885,Guildmage,165,165/250
alberto,556,Spellshaper,16,16/180
andrew d,374,Task Mage,74,74/100
chris a,1945,Battlemage,225,225/580
clayton,2119,Battlemage,399,399/580
collin,821,Guildmage,101,101/250
david o,500,Adept,100,100/140
eric k,1458,Sorcerer,178,178/440
evan s,586,Spellshaper,46,46/180
jacob,804,Guildmage,84,84/250
john k,567,Spellshaper,27,27/180
juwan,764,Guildmage,44,44/250
kevin s,827,Guildmage,107,107/250
luca,215,Prodigy,55,55/60
luis,789,Guildmage,69,69/250
luke,459,Adept,59,59/140
marco,492,Adept,92,92/140
matt y,1430,Sorcerer,150,150/440
nick d,1406,Sorcerer,126,126/440
noah,1315,Sorcerer,35,35/440
simon,1201,Invoker,231,231/310
sonny,736,Guildmage,16,16/250
stephen,716,Spellshaper,176,176/180
todd,313,Task Mage,13,13/100
tony,1559,Sorcerer,279,279/440
travis,267,Apprentice,47,47/80
walski,1312,Sorcerer,32,32/440
zane,443,Adept,43,43/140
frank,252,Apprentice,32,32/80
thana,591,Spellshaper,51,51/180
aaron,223,Apprentice,3,3/80
mike,145,Beginner,145,-15/0
ana,334,Task Mage,34,34/100
davidk,0,Beginner,0,-160/0
patrickh,0,Beginner,0,-160/0
nickc,0,Beginner,0,-160/0
nathan,484,Adept,84,84/140
